filename, language, C++, C, comment, blank, total
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_communications.c, C, 0, 4, 38, 8, 50
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_communications.cpp, C++, 4, 0, 38, 8, 50
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_communications.h, C++, 11, 0, 41, 14, 66
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_proc_a.c, C, 0, 109, 45, 35, 189
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_proc_a.h, C++, 11, 0, 41, 14, 66
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_proc_b.c, C, 0, 117, 46, 35, 198
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_proc_b.h, C++, 11, 0, 41, 12, 64
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_processing_common.c, C, 0, 86, 44, 20, 150
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_processing_common.h, C++, 27, 0, 41, 17, 85
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_supervisor.c, C, 0, 38, 44, 21, 103
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/acs_supervisor.h, C++, 10, 0, 41, 13, 64
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/crc16.c, C, 0, 111, 50, 14, 175
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/crc16.h, C++, 18, 0, 39, 8, 65
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/dsp_filters_lib.c, C, 0, 52, 65, 21, 138
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/dsp_filters_lib.h, C++, 49, 0, 44, 27, 120
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/fifo.c, C, 0, 56, 77, 18, 151
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/fifo.h, C++, 30, 0, 21, 13, 64
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/fletcher.c, C, 0, 69, 59, 23, 151
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/fletcher.h, C++, 23, 0, 58, 17, 98
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/fletcher32.c, C, 0, 24, 58, 18, 100
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/fletcher32.h, C++, 15, 0, 58, 16, 89
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/helper_functions.c, C, 0, 22, 38, 12, 72
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/helper_functions.h, C++, 115, 0, 46, 32, 193
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/logger.c, C, 0, 175, 80, 47, 302
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/logger.h, C++, 157, 0, 36, 60, 253
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/sip_hash.c, C, 0, 109, 48, 31, 188
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/sip_hash.h, C++, 41, 0, 42, 21, 104
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/xtea.c, C, 0, 162, 74, 35, 271
/home/fsuser/CodeLiteProjects/CppWorkspace/FSProcessingModel/App/xtea.h, C++, 29, 0, 41, 16, 86
Total, -, 551, 1134, 1394, 626, 3705
